Run,World Size,Local Batch,Global Batch,LR,Total Time (s),Best Val Acc
baseline,2,16,32,0.0001,5145.04,0.2772
lr_scaled,2,16,32,0.0002,5133.57,0.2136
no_lr_scale,2,16,32,0.0001,5145.04,0.2772
